,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.981566376821388e-32,7.99325485173686e-32,8.028216917325365e-32,8.086143342496467e-32,8.166521557188218e-32,8.268639860394219e-32,8.391593279045299e-32,8.534291047654366e-32,8.695465665045033e-32,8.873683477640659e-32,9.067356723969742e-32,9.274756967105728e-32,9.49402982569161e-32,9.723210905396793e-32,9.960242815711122e-32,1.0202993147924304e-31,1.0449273273073299e-31,1.0696857810283074e-31,1.0943504599798956e-31,1.1186975008545924e-31,1.1425054382107843e-31,1.1655572453740003e-31,1.1876423510538848e-31,1.2085586118005217e-31,1.2281142198311854e-31,1.2461295264042712e-31,1.2624387608595423e-31,1.2768916266781254e-31,1.2893547564256567e-31,1.2997130092672446e-31,1.3078705957992455e-31,1.31375201730512e-31,1.3173028080690283e-31,1.318490072172317e-31,1.3173028080690283e-31,1.31375201730512e-31,1.3078705957992455e-31,1.2997130092672446e-31,1.2893547564256567e-31,1.2768916266781254e-31,1.2624387608595423e-31,1.2461295264042712e-31,1.2281142198311854e-31,1.2085586118005217e-31,1.1876423510538848e-31,1.165557245374e-31,1.142505438210784e-31,1.1186975008545922e-31,1.0943504599798954e-31,1.0696857810283072e-31,1.0449273273073299e-31,1.0202993147924304e-31,9.96024281571112e-32,9.723210905396792e-32,9.49402982569161e-32,9.274756967105728e-32,9.067356723969742e-32,8.873683477640659e-32,8.695465665045033e-32,8.534291047654366e-32,8.391593279045299e-32,8.268639860394219e-32,8.166521557188218e-32,8.086143342496468e-32,8.028216917325365e-32,7.99325485173686e-32,7.981566376821388e-32
2,2.033559704962971e-31,2.036538736010063e-31,2.045449487052056e-31,2.0602131472414024e-31,2.0806990826620596e-31,2.1067259084024856e-31,2.1380629817696297e-31,2.1744323080670494e-31,2.2155108487427196e-31,2.2609332181074355e-31,2.3102947529333346e-31,2.363154935308768e-31,2.419041146971176e-31,2.4774527291224227e-31,2.537865319420527e-31,2.5997354334852043e-31,2.6625052559899283e-31,2.7256076021519166e-31,2.788471008490597e-31,2.8505249078581997e-31,2.9112048424513024e-31,2.969957665366093e-31,3.0262466809357985e-31,3.079556671972825e-31,3.129398762965606e-31,3.1753150674414245e-31,3.216883070080756e-31,3.253719694752589e-31,3.2854850135361302e-31,3.311885553817012e-31,3.332677165898406e-31,3.347667416903856e-31,3.356717483349187e-31,3.359743519150574e-31,3.356717483349187e-31,3.347667416903856e-31,3.332677165898406e-31,3.311885553817012e-31,3.2854850135361302e-31,3.253719694752589e-31,3.216883070080756e-31,3.1753150674414245e-31,3.129398762965606e-31,3.079556671972825e-31,3.0262466809357985e-31,2.9699576653660926e-31,2.911204842451302e-31,2.850524907858199e-31,2.7884710084905966e-31,2.7256076021519158e-31,2.662505255989928e-31,2.599735433485204e-31,2.5378653194205267e-31,2.4774527291224227e-31,2.4190411469711757e-31,2.363154935308768e-31,2.3102947529333346e-31,2.2609332181074355e-31,2.2155108487427196e-31,2.1744323080670494e-31,2.1380629817696297e-31,2.1067259084024856e-31,2.0806990826620596e-31,2.0602131472414024e-31,2.0454494870520566e-31,2.036538736010063e-31,2.033559704962971e-31
3,4.031405385883932e-31,4.037314333535683e-31,4.054988929306681e-31,4.0842728593086015e-31,4.124907022840276e-31,4.176531658690753e-31,4.238689305671256e-31,4.310828582196017e-31,4.392308762912231e-31,4.48240512689013e-31,4.580315044437215e-31,4.685164765551945e-31,4.796016864950129e-31,4.911878294103896e-31,5.03170898220427e-31,5.154430923329407e-31,5.278937678505962e-31,5.404104217069309e-31,5.528797013606329e-31,5.651884313435661e-31,5.7722464725630035e-31,5.888786276327022e-31,6.000439135682128e-31,6.106183060562504e-31,6.205048306814442e-31,6.296126596385794e-31,6.3785798102147946e-31,6.451648059441598e-31,6.5146570431959795e-31,6.567024610388031e-31,6.608266448328298e-31,6.6380008328967035e-31,6.655952382762302e-31,6.66195477422278e-31,6.655952382762302e-31,6.6380008328967035e-31,6.608266448328298e-31,6.567024610388031e-31,6.5146570431959795e-31,6.451648059441598e-31,6.3785798102147946e-31,6.296126596385794e-31,6.205048306814442e-31,6.106183060562504e-31,6.000439135682128e-31,5.888786276327022e-31,5.772246472563003e-31,5.651884313435661e-31,5.5287970136063284e-31,5.404104217069308e-31,5.278937678505961e-31,5.154430923329407e-31,5.031708982204269e-31,4.911878294103896e-31,4.796016864950129e-31,4.685164765551945e-31,4.580315044437215e-31,4.482405126890129e-31,4.392308762912231e-31,4.310828582196017e-31,4.238689305671256e-31,4.176531658690753e-31,4.124907022840276e-31,4.0842728593086015e-31,4.054988929306681e-31,4.037314333535684e-31,4.031405385883932e-31
4,7.338999271876858e-31,7.349763909953637e-31,7.381962649715328e-31,7.4353107457533e-31,7.50933621325895e-31,7.603383699351802e-31,7.716619875267521e-31,7.848040318593632e-31,7.996477848829033e-31,8.160612266638658e-31,8.338981440258588e-31,8.529993668403287e-31,8.731941241141313e-31,8.943015105064269e-31,9.161320530605777e-31,9.384893663711498e-31,9.611718835741088e-31,9.839746490163798e-31,1.0066911577445362e-30,1.0291152255627282e-30,1.051042872926071e-30,1.0722742048068689e-30,1.0926152685375204e-30,1.1118798708782702e-30,1.1298913358770144e-30,1.1464841847956309e-30,1.1615057202199037e-30,1.1748174966932442e-30,1.1862966616079556e-30,1.1958371508327727e-30,1.2033507254764502e-30,1.2087678374087093e-30,1.2120383135331273e-30,1.2131318504102363e-30,1.2120383135331273e-30,1.2087678374087093e-30,1.2033507254764502e-30,1.1958371508327727e-30,1.1862966616079556e-30,1.1748174966932442e-30,1.1615057202199037e-30,1.1464841847956309e-30,1.1298913358770144e-30,1.1118798708782702e-30,1.0926152685375204e-30,1.0722742048068689e-30,1.051042872926071e-30,1.029115225562728e-30,1.006691157744536e-30,9.839746490163796e-31,9.611718835741086e-31,9.384893663711496e-31,9.161320530605777e-31,8.943015105064269e-31,8.731941241141313e-31,8.529993668403287e-31,8.338981440258588e-31,8.160612266638658e-31,7.996477848829033e-31,7.848040318593632e-31,7.716619875267521e-31,7.603383699351802e-31,7.50933621325895e-31,7.4353107457533e-31,7.381962649715328e-31,7.349763909953637e-31,7.338999271876859e-31
5,1.2877854357035702e-30,1.2896759260032713e-30,1.2953306836997569e-30,1.3046997058910303e-30,1.3177001091152224e-30,1.334216809066486e-30,1.3541034670209437e-30,1.37718369813478e-30,1.4032525346214096e-30,1.4320781356829162e-30,1.4634037337128445e-30,1.4969498049730292e-30,1.5324164503832103e-30,1.5694859706014229e-30,1.6078256168636755e-30,1.6470904975432507e-30,1.6869266176573828e-30,1.726974027148477e-30,1.7668700511844997e-30,1.8062525746248904e-30,1.844763350569314e-30,1.8820513023209795e-30,1.917775786427859e-30,1.951609784589784e-30,1.983242991293272e-30,2.012384765026737e-30,2.038766910873434e-30,2.0621462642255833e-30,2.0823070462322918e-30,2.0990629644999775e-30,2.1122590343234213e-30,2.1217730995044827e-30,2.127517034341074e-30,2.129437612845818e-30,2.127517034341074e-30,2.1217730995044827e-30,2.1122590343234213e-30,2.0990629644999775e-30,2.0823070462322918e-30,2.0621462642255833e-30,2.038766910873434e-30,2.012384765026737e-30,1.983242991293272e-30,1.951609784589784e-30,1.917775786427859e-30,1.8820513023209795e-30,1.8447633505693135e-30,1.8062525746248904e-30,1.7668700511844994e-30,1.7269740271484766e-30,1.6869266176573824e-30,1.6470904975432507e-30,1.6078256168636755e-30,1.5694859706014227e-30,1.5324164503832103e-30,1.4969498049730292e-30,1.4634037337128445e-30,1.4320781356829162e-30,1.4032525346214096e-30,1.37718369813478e-30,1.3541034670209437e-30,1.334216809066486e-30,1.3177001091152224e-30,1.3046997058910303e-30,1.2953306836997569e-30,1.2896759260032715e-30,1.2877854357035702e-30
6,2.219840283949792e-30,2.2231021692425515e-30,2.2328589906722068e-30,2.2490244804112732e-30,2.2714556430553162e-30,2.299953927585909e-30,2.334266859782458e-30,2.3740901258232107e-30,2.4190700959981847e-30,2.4688067735960287e-30,2.5228571518985224e-30,2.580738957987317e-30,2.641934759637725e-30,2.7058964070253296e-30,2.7720497783566548e-30,2.8397997938254654e-30,2.9085356597189467e-30,2.9776362998870176e-30,3.046475929554885e-30,3.1144297222778855e-30,3.1808795193051555e-30,3.245219527229259e-30,3.306861949326722e-30,3.365242493739643e-30,3.419825702548985e-30,3.470110044944324e-30,3.5156327201851025e-30,3.5559741167735256e-30,3.590761878423874e-30,3.619674529727751e-30,3.642444620183409e-30,3.658861349024025e-30,3.668772640424031e-30,3.672086643593859e-30,3.668772640424031e-30,3.658861349024025e-30,3.642444620183409e-30,3.619674529727751e-30,3.590761878423874e-30,3.5559741167735256e-30,3.5156327201851025e-30,3.470110044944324e-30,3.419825702548985e-30,3.365242493739643e-30,3.306861949326722e-30,3.245219527229259e-30,3.1808795193051555e-30,3.114429722277885e-30,3.0464759295548847e-30,2.9776362998870173e-30,2.9085356597189467e-30,2.8397997938254654e-30,2.7720497783566548e-30,2.7058964070253296e-30,2.6419347596377245e-30,2.580738957987317e-30,2.5228571518985224e-30,2.4688067735960287e-30,2.4190700959981847e-30,2.3740901258232107e-30,2.3342668597824583e-30,2.299953927585909e-30,2.2714556430553162e-30,2.2490244804112732e-30,2.232858990672207e-30,2.2231021692425515e-30,2.2198402839497924e-30
7,3.7905730210672945e-30,3.796148815120004e-30,3.8128269133471194e-30,3.840459866702299e-30,3.878803266430698e-30,3.9275177466731605e-30,3.986171772980255e-30,4.054245202541212e-30,4.131133595671384e-30,4.2161532547118016e-30,4.308546959625628e-30,4.407490365633969e-30,4.512099020747385e-30,4.621435956660157e-30,4.734519798548999e-30,4.8503333347736584e-30,4.967832479475307e-30,5.085955556828676e-30,5.2036328281403064e-30,5.3197961796275354e-30,5.433388882191783e-30,5.543375332649257e-30,5.648750681019436e-30,5.748550248716224e-30,5.841858639822513e-30,5.927818450432741e-30,6.0056384809654876e-30,6.07460136197765e-30,6.134070506671236e-30,6.1834963117549226e-30,6.2224215336233264e-30,6.250485777872911e-30,6.2674290477477854e-30,6.2730943102321815e-30,6.2674290477477854e-30,6.250485777872911e-30,6.2224215336233264e-30,6.1834963117549226e-30,6.134070506671236e-30,6.07460136197765e-30,6.0056384809654876e-30,5.927818450432741e-30,5.841858639822513e-30,5.748550248716224e-30,5.648750681019436e-30,5.543375332649257e-30,5.433388882191783e-30,5.319796179627536e-30,5.2036328281403064e-30,5.085955556828676e-30,4.967832479475307e-30,4.8503333347736584e-30,4.734519798548999e-30,4.621435956660157e-30,4.512099020747385e-30,4.407490365633969e-30,4.308546959625628e-30,4.2161532547118016e-30,4.131133595671384e-30,4.054245202541212e-30,3.986171772980255e-30,3.927517746673161e-30,3.878803266430698e-30,3.840459866702299e-30,3.8128269133471194e-30,3.796148815120004e-30,3.7905730210672945e-30
8,6.436977089540656e-30,6.446456289747106e-30,6.474810114092729e-30,6.521787917384113e-30,6.586974234172716e-30,6.66979218062832e-30,6.769508193109138e-30,6.885238076781631e-30,7.015954332281978e-30,7.160494717352323e-30,7.31757199409888e-30,7.485784800371472e-30,7.66362957657524e-30,7.849513466128718e-30,8.041768100028636e-30,8.238664162401329e-30,8.438426626248875e-30,8.639250535292203e-30,8.839317201121228e-30,9.036810672800738e-30,9.229934331411843e-30,9.416927452251916e-30,9.596081575824433e-30,9.76575652230353e-30,9.924395886560253e-30,1.0070541848506131e-29,1.0202849140544524e-29,1.0320098016180224e-29,1.0421206075756031e-29,1.0505238812193363e-29,1.0571418756213196e-29,1.0619133111668924e-29,1.0647939792238121e-29,1.0657571785282324e-29,1.0647939792238121e-29,1.0619133111668924e-29,1.0571418756213196e-29,1.0505238812193363e-29,1.0421206075756031e-29,1.0320098016180224e-29,1.0202849140544524e-29,1.007054184850613e-29,9.924395886560253e-30,9.765756522303531e-30,9.596081575824433e-30,9.416927452251916e-30,9.229934331411845e-30,9.036810672800739e-30,8.839317201121228e-30,8.639250535292205e-30,8.438426626248875e-30,8.238664162401329e-30,8.041768100028636e-30,7.849513466128718e-30,7.66362957657524e-30,7.485784800371472e-30,7.31757199409888e-30,7.160494717352323e-30,7.015954332281978e-30,6.885238076781631e-30,6.769508193109138e-30,6.66979218062832e-30,6.586974234172716e-30,6.521787917384113e-30,6.474810114092729e-30,6.446456289747106e-30,6.436977089540656e-30
9,1.0890769945224036e-29,1.0906826987467218e-29,1.0954856220084115e-29,1.1034433119059908e-29,1.1144853997447161e-29,1.1285141765311366e-29,1.1454053950519729e-29,1.1650092939751773e-29,1.1871518381370429e-29,1.2116361681880677e-29,1.2382442508184182e-29,1.2667387196291746e-29,1.2968648945824463e-29,1.3283529666750677e-29,1.360920332217591e-29,1.394274059762392e-29,1.4281134704369887e-29,1.462132811184211e-29,1.496023998247606e-29,1.5294794072370676e-29,1.562194684246481e-29,1.5938715519243746e-29,1.6242205830144004e-29,1.6529639139151245e-29,1.679837870060611e-29,1.7045954756946309e-29,1.727008820611025e-29,1.746871258020651e-29,1.7639994084996818e-29,1.7782349473837256e-29,1.7894461545323187e-29,1.797529208546003e-29,1.8024092097375565e-29,1.8040409199150884e-29,1.8024092097375565e-29,1.797529208546003e-29,1.7894461545323187e-29,1.7782349473837256e-29,1.763999408499682e-29,1.746871258020651e-29,1.727008820611025e-29,1.7045954756946309e-29,1.679837870060611e-29,1.6529639139151245e-29,1.6242205830144007e-29,1.5938715519243746e-29,1.5621946842464813e-29,1.529479407237068e-29,1.4960239982476064e-29,1.462132811184211e-29,1.428113470436989e-29,1.394274059762392e-29,1.3609203322175913e-29,1.3283529666750677e-29,1.2968648945824463e-29,1.2667387196291746e-29,1.2382442508184183e-29,1.2116361681880677e-29,1.1871518381370429e-29,1.1650092939751773e-29,1.1454053950519729e-29,1.1285141765311366e-29,1.1144853997447161e-29,1.1034433119059908e-29,1.0954856220084115e-29,1.090682698746722e-29,1.0890769945224036e-29
