,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.9868688349121294e-35,2.9881725455151553e-35,2.993165037794557e-35,3.003223133071965e-35,3.0200818917935983e-35,3.0459075279321746e-35,3.083381384094103e-35,3.135795791304381e-35,3.2071624733830556e-35,3.302333916416569e-35,3.4271377971885565e-35,3.588524139186195e-35,3.7947243305235816e-35,4.055420485761488e-35,4.381922855644994e-35,4.7873520791292273e-35,5.286822025353133e-35,5.897617783362432e-35,6.639362015027873e-35,7.534161375177289e-35,8.606722992825755e-35,9.884429047676144e-35,1.139735518357947e-34,1.3178215745253128e-34,1.526221541033121e-34,1.7686782430240718e-34,2.049115298578356e-34,2.3715768546750875e-34,2.7401437840940216e-34,3.1588201078384917e-34,3.631381512407586e-34,4.161175267279027e-34,4.750857400656014e-34,5.402048392886974e-34,6.114882567099861e-34,6.887418395231931e-34,7.714866616273696e-34,8.588579819060984e-34,9.49473032284909e-34,1.0412582055657024e-33,1.1312235861696865e-33,1.2151695376589522e-33,1.287306136221855e-33,1.3397615259415756e-33,1.3619496818406421e-33
2,9.348824327403275e-35,9.352987854504052e-35,9.368931873738144e-35,9.40105342660242e-35,9.454893644731695e-35,9.537370585780733e-35,9.657047352978481e-35,9.824438103193566e-35,1.0052354014179987e-34,1.035629050482964e-34,1.0754855944962065e-34,1.127024071746736e-34,1.192872377291176e-34,1.2761211717150896e-34,1.3803802973619974e-34,1.5098366646350066e-34,1.669312236287301e-34,1.8643203581794682e-34,2.101118258192132e-34,2.3867530559913394e-34,2.7290980861855064e-34,3.1368757203830713e-34,3.61966215376368e-34,4.187868758036571e-34,4.8526935330775306e-34,5.626034823450369e-34,6.5203576746324085e-34,7.548500808570671e-34,8.723408957085895e-34,1.0057770882478756e-33,1.1563537416244599e-33,1.3251285717022786e-33,1.5129385000741135e-33,1.7202904371092558e-33,1.947218402007888e-33,2.1930965693472227e-33,2.4563945390469192e-33,2.734356898445303e-33,3.022583772245967e-33,3.3144823011373515e-33,3.6005505892773155e-33,3.8674453293049476e-33,4.09677175237522e-33,4.2635194604521835e-33,4.3340497969140525e-33
3,2.2914224416861223e-34,2.292475065226559e-34,2.2965060380534277e-34,2.3046270339954965e-34,2.3182389858529182e-34,2.3390909433266002e-34,2.369347836301713e-34,2.4116677917364246e-34,2.4692895133638584e-34,2.5461300322257533e-34,2.64689286322525e-34,2.777186249471463e-34,2.943650734225434e-34,3.1540947631201265e-34,3.4176363819353717e-34,3.7448483539521807e-34,4.147903173137255e-34,4.640713492269502e-34,5.2390624135320915e-34,5.960716892518255e-34,6.8255161643018685e-34,7.855425574606942e-34,9.074544426669554e-34,1.050905433378141e-33,1.21870919441852e-33,1.413852655176715e-33,1.6394618698919396e-33,1.898752996688988e-33,2.194964612220953e-33,2.531266483033033e-33,2.9106384192435757e-33,3.335710803421462e-33,3.808555643294072e-33,4.3304133232255084e-33,4.9013353577339605e-33,5.51971705454004e-33,6.181685684528828e-33,6.880299071951154e-33,7.604495928021464e-33,8.337722150282225e-33,9.056136026945411e-33,9.72626909278171e-33,1.0301987519456269e-32,1.0720560625034575e-32,1.0897597636319118e-32
4,5.185302378385371e-34,5.187779277920598e-34,5.197264462046098e-34,5.216373828411856e-34,5.24840396336079e-34,5.297470622321608e-34,5.368668122173832e-34,5.468251140567976e-34,5.603840078094498e-34,5.78465065149207e-34,6.021747727596339e-34,6.3283225578633595e-34,6.719991514126316e-34,7.215113143424112e-34,7.835118843100814e-34,8.604850700801076e-34,9.552898044276512e-34,1.0711922000103392e-33,1.2118954860968934e-33,1.3815658288430676e-33,1.5848521288920864e-33,1.8268975412996094e-33,2.113340059852148e-33,2.450299027579329e-33,2.844343841930334e-33,3.302440363821285e-33,3.831869538825125e-33,4.440111390582681e-33,5.1346857072395626e-33,5.92293821937591e-33,6.81175761081907e-33,7.807203987386425e-33,8.914023040936992e-33,1.0135011571576523e-32,1.147018863371296e-32,1.2915711579212657e-32,1.4462456757984297e-32,1.6094159512517382e-32,1.7784976104944898e-32,1.9496289907264998e-32,2.117253397112154e-32,2.273574024444669e-32,2.407845040737784e-32,2.505453274352912e-32,2.546734193690472e-32
5,1.13599136830771e-33,1.13655870457673e-33,1.1387312994054282e-33,1.143108342630243e-33,1.1504449513407308e-33,1.1616838866850314e-33,1.1779920499063902e-33,1.2008020921302393e-33,1.2318593916107563e-33,1.2732745366640463e-33,1.3275812973286618e-33,1.3977998693059368e-33,1.4875049260503204e-33,1.6008977160521735e-33,1.7428810905226232e-33,1.919135941080214e-33,2.136197067719904e-33,2.401525984619387e-33,2.7235776046477095e-33,3.111857119618e-33,3.5769627039988075e-33,4.130608897741768e-33,4.7856246380598114e-33,5.555918859009217e-33,6.456405281418025e-33,7.502876354461967e-33,8.711814111777088e-33,1.0100122728404303e-32,1.1684763480914512e-32,1.348226718149125e-32,1.5508091399488363e-32,1.7775779154700627e-32,2.0295861316633492e-32,2.3074425485419474e-32,2.6111248196401783e-32,2.9397353098189567e-32,3.291181316591115e-32,3.661755750660896e-32,4.0455869969654097e-32,4.4339174267785564e-32,4.814158494626919e-32,5.168656130286087e-32,5.473082806158618e-32,5.694351802921671e-32,5.78792441556023e-32
6,2.453520399477105e-33,2.4548058893290097e-33,2.459728641052119e-33,2.4696463679001762e-33,2.4862701366124357e-33,2.5117362329376225e-33,2.5486888315382276e-33,2.6003742089538512e-33,2.6707470474087016e-33,2.7645891062203832e-33,2.8876401751128062e-33,3.0467407597367423e-33,3.2499853758742005e-33,3.506884639287778e-33,3.828533529931519e-33,4.227782282077836e-33,4.719405307974759e-33,5.320262405045311e-33,6.049445226984784e-33,6.928400613514905e-33,7.98102085670787e-33,9.233689298613072e-33,1.0715267739193972e-32,1.2457009873007087e-32,1.449238218994689e-32,1.685677020233309e-32,1.9587043110290835e-32,2.2720943545615352e-32,2.629626009580441e-32,3.034972790571477e-32,3.4915585470599885e-32,4.002369207270172e-32,4.5697078012837964e-32,5.194875613924156e-32,5.87775648312056e-32,6.616273547991339e-32,7.405677673604356e-32,8.23761375943815e-32,9.098894506616334e-32,9.969890213190047e-32,1.0822416939055702e-31,1.1616973013279286e-31,1.2299134382904397e-31,1.2794871757211738e-31,1.3004495976035239e-31
7,5.2647941896391336e-33,5.2676938926984484e-33,5.278798269486262e-33,5.301170079259369e-33,5.3386692933031876e-33,5.396115220783614e-33,5.479472952301073e-33,5.596065741920034e-33,5.754814499131771e-33,5.966504928322179e-33,6.244082009660987e-33,6.602970439801238e-33,7.061418325989937e-33,7.640859841925434e-33,8.366290703917776e-33,9.266648214949119e-33,1.0375185261684822e-32,1.1729825048198063e-32,1.337348052062822e-32,1.535431937825584e-32,1.7725952252680608e-32,2.0547517998088665e-32,2.3883635932290738e-32,2.780419005661983e-32,3.238390437130273e-32,3.770166079661085e-32,4.383950104187113e-32,5.088123981110672e-32,5.891059731544622e-32,6.800873192160052e-32,7.825101592972245e-32,8.970284509430185e-32,1.0241420067548397e-31,1.164125853828064e-31,1.3169382394069605e-31,1.4821004589387494e-31,1.658539415518807e-31,1.844380884963454e-31,2.0366777057327436e-31,2.2310523637269956e-31,2.421227504849772e-31,2.5984105730230965e-31,2.750489817638013e-31,2.860988121117649e-31,2.9077082564875976e-31
8,1.1263034147065945e-32,1.1269562819776549e-32,1.1294564388713535e-32,1.1344935039816978e-32,1.1429366301047734e-32,1.1558710150423534e-32,1.1746398760515161e-32,1.200892242319111e-32,1.23663681425278e-32,1.284301990329604e-32,1.3468019661212488e-32,1.4276085611163555e-32,1.53082812348105e-32,1.661282498887017e-32,1.8245926267559202e-32,2.0272628473598854e-32,2.276763469466514e-32,2.581608564886157e-32,2.951425327339422e-32,3.397010660132941e-32,3.9303699364043227e-32,4.564732093600263e-32,5.314534351151556e-32,6.195368824345402e-32,7.223882062089089e-32,8.417616929507015e-32,9.794784094363581e-32,1.137394738468204e-31,1.3173603085491587e-31,1.5211627326378697e-31,1.7504557406857675e-31,2.006666134297648e-31,2.290873398573879e-31,2.6036536365129396e-31,2.944876572638164e-31,3.3134404941818034e-31,3.7069249071933915e-31,4.1211340821238676e-31,4.549496200992731e-31,4.982272099688755e-31,5.40551418226676e-31,5.799699489532284e-31,6.137940628274379e-31,6.383653805020657e-31,6.487534084243193e-31
9,2.4060217165942527e-32,2.4074904795903544e-32,2.4131151377693016e-32,2.424447240810966e-32,2.4434423559548564e-32,2.472542235979436e-32,2.5147692549755995e-32,2.573833884960857e-32,2.6542557384613523e-32,2.7614983565944895e-32,2.9021174664537154e-32,3.0839218553293795e-32,3.3161453051143377e-32,3.6096271946533626e-32,3.976998411848454e-32,4.4328681268129375e-32,4.994005772310436e-32,5.679511270912583e-32,6.510965152441537e-32,7.512548728213262e-32,8.711122926450963e-32,1.0136252720393576e-31,1.1820162236372478e-31,1.3797603499982146e-31,1.6105619175447376e-31,1.878317628329342e-31,2.187064331177232e-31,2.540907675263071e-31,2.943927404120833e-31,3.4000537017305173e-31,3.9129071830674973e-31,4.485592572567558e-31,5.120432584104524e-31,5.818623689360578e-31,6.5797889464331e-31,7.4013943792056155e-31,8.277983975562901e-31,9.200173528480885e-31,1.0153324486690825e-30,1.1115794807619127e-30,1.2056633506637619e-30,1.2932548078449802e-30,1.3683928078975482e-30,1.4229652745335248e-30,1.446034451266106e-30
